"nomCru"	"country_label"	"subregion_label"	"area_label"	"label"	"millesime"	"volume"	"date_achat"	"prix"	"cote"	"quantite_courante"	"quantite_achat"	"garde_min"	"garde_max"	"garde_optimum"	"suggestion"	"comment"	"lieu_achat"	"canal_vente"
"Château Guiraud"	"France"	"Bordeaux"	"Sauternes"	"blanc liquoreux"	"2003"	"75 cl"	"2017-10-23"	"48.00"	"48.00"	"2"	"2"	"5"	"30"	"5"			"Vins et millesimes"	"Achat sur Internet"
"Château Guiraud"	"France"	"Bordeaux"	"Sauternes"	"blanc liquoreux"	"2011"	"75 cl"	"2017-10-23"	"48.00"	"48.00"	"6"	"6"	"5"	"30"	"5"			"Finest wine"	"Achat sur Internet"
"Château Guiraud"	"France"	"Bordeaux"	"Sauternes"	"blanc liquoreux"	"1998"	"75 cl"	"2017-10-23"	"0.00"	"0.00"	"1"	"1"	"5"	"30"	"5"		"Caisse cadeau &quot;Moon&quot;"	"Finest wine"	"Achat sur Internet"
"Château Guiraud"	"France"	"Bordeaux"	"Sauternes"	"blanc liquoreux"	"1995"	"75 cl"	"2018-04-22"	"39.00"	"39.00"	"1"	"1"	"5"	"30"	"5"			"Ebay"	"Achat à un particulier"
"Château Guiraud"	"France"	"Bordeaux"	"Sauternes"	"blanc liquoreux"	"1994"	"75 cl"	"2018-04-27"	"27.00"	"27.00"	"1"	"1"	"5"	"30"	"5"			"Ebay"	"Achat à un particulier"
"Château Haut-Saint-Georges"	"France"	"Bordeaux"	"Saint Georges Saint Emilion"	"rouge"	"2009"	"75 cl"	"2010-01-01"	"11.00"	"15.00"	"3"	"3"	"4"	"10"	"4"			"Euriware"	"En direct du producteur"
"Château Hostens-Picant - Cuvée des Demoiselles"	"France"	"Bordeaux"	"Bordeaux"	"blanc"	"2013"	"75 cl"	"2016-01-16"	"0.00"	"0.00"	"1"	"1"	"1"	"4"	"1"			"PetitBallon"	"Cadeau"
"Château Jacques Blanc"	"France"	"Bordeaux"	"Saint Emilion Grand Cru"	"rouge"	"2009"	"75 cl"	"2015-01-01"	"0.00"	"25.00"	"1"	"1"	"4"	"25"	"4"				"Non défini"
"Château Ksara - Réserve du Couvent"	"Liban"	"Vallée de la Bekaa"	"Vallée de la Bekaa"	"rouge"	"2005"	"75 cl"	"2009-01-17"	"0.00"	"0.00"	"0"	"1"	"1"	"5"	"1"			"Cadeau"	"Cadeau"
"Château l'Ancien"	"France"	"Bordeaux"	"Lalande de Pomerol"	"rouge"	"2012"	"75 cl"	"2014-11-04"	"0.00"	"12.00"	"6"	"6"	"5"	"25"	"5"			"primeur"	"En direct du producteur"
"Château l'Armont"	"France"	"Bordeaux"	"Saint Emilion Grand Cru"	"rouge"	"2006"	"75 cl"	"2014-10-28"	"0.00"	"20.00"	"1"	"2"	"4"	"25"	"4"			"CERP"	"Cadeau"
"Château La Croix de Gay"	"France"	"Bordeaux"	"Pomerol"	"rouge"	"2006"	"75 cl"	"2009-01-17"	"0.00"	"20.00"	"0"	"1"	"5"	"30"	"5"			"Anniversaire"	"Cadeau"
"Château La Galiane"	"France"	"Bordeaux"	"Margaux"	"rouge"	"2009"	"75 cl"	"2010-01-01"	"11.25"	"20.00"	"2"	"3"	"4"	"25"	"4"			"Euriware"	"En direct du producteur"
"Château La Galiane"	"France"	"Bordeaux"	"Margaux"	"rouge"	"2010"	"75 cl"	"2012-01-01"	"12.00"	"15.00"	"6"	"6"	"4"	"25"	"4"		"Prix estimés"	"Euriware"	"En direct du producteur"
"Château La Galiane"	"France"	"Bordeaux"	"Margaux"	"rouge"	"2011"	"75 cl"	"2013-07-01"	"12.00"	"15.00"	"3"	"3"	"4"	"25"	"4"			"Euriware"	"En direct du producteur"
